name_speaker,datetime,topic,text
PRESIDENTE,20/07/2006,Presidenza del vice presidente CAPRILI,La seduta è aperta
PRESIDENTE,20/07/2006,Presidenza del vice presidente CAPRILI,Si dia lettura del processo verbale.
PRESIDENTE,20/07/2006,Presidenza del vice presidente CAPRILI,"Non essendovi osservazioni, il processo verbale è approvato."
PRESIDENTE,20/07/2006,Comunicazioni della Presidenza,"L'elenco dei senatori in congedo e assenti per incarico ricevuto dal Senato, nonché ulteriori comunicazioni all'Assemblea saranno pubblicati nell'allegato B al Resoconto della seduta odierna."
PRESIDENTE,20/07/2006,"Svolgimento di interpellanze e di interrogazioni(ore 10,10)",L'ordine del giorno reca lo svolgimento di interpellanze e di interrogazioni.
PRESIDENTE,20/07/2006,"Svolgimento di interpellanze e di interrogazioni(ore 10,10)","In base all'ordine del giorno, dovevamo iniziare dall'interrogazione 3-00072; l'avvocato Annunziata, sottosegretario di Stato per i trasporti, ha però fatto presente che ha impegni nell'altro ramo del Parlamento e quindi abbiamo deciso, in accordo con i colleghi, di anticipare l'interrogazione presentata dal senatore Butti."
PRESIDENTE,20/07/2006,"Svolgimento di interpellanze e di interrogazioni(ore 10,10)",Passiamo pertanto all'interrogazione 3-00022 sull'autostrada del Gottardo.
PRESIDENTE,20/07/2006,"Svolgimento di interpellanze e di interrogazioni(ore 10,10)",Il rappresentante del Governo ha facoltà di rispondere a tale interrogazione.
ANNUNZIATA,20/07/2006,"Svolgimento di interpellanze e di interrogazioni(ore 10,10)","Signor Presidente, ringrazio i colleghi, che mi consentono di arrivare in tempo per l'esame del DPEF che si sta svolgendo in Commissione trasporti alla Camera dei deputati."
ANNUNZIATA,20/07/2006,"Svolgimento di interpellanze e di interrogazioni(ore 10,10)","Rispondo dunque all'interrogazione presentata dal senatore Butti. Il giorno 31 maggio 2006 una grave frana ha interessato una tratta dell'autostrada del Gottardo, determinando la chiusura al traffico dell'autostrada stessa per un periodo non ancora definito."
ANNUNZIATA,20/07/2006,"Svolgimento di interpellanze e di interrogazioni(ore 10,10)","Il Ministro dei trasporti, individuando da subito le difficoltà che sarebbero ricadute sull'autotrasporto italiano, è intervenuto in maniera puntuale con una nota inviata all'Ufficio federale elvetico delle strade il 7 giugno scorso. In tale nota viene evidenziato innanzitutto come la convocazione del gruppo permanente di lavoro ristretto italo-svizzero, costituito nell'ambito del IV gruppo di lavoro italo-svizzero, che ha come competenza lo scambio delle informazioni e l'individuazione delle procedure volte ad evitare stati di crisi nella circolazione, debba avvenire con assoluta tempestività e come il coordinatore italiano, in considerazione del fatto che gli incidenti avvengono quasi sempre in territorio elvetico, debba essere informato prontamente con tutti gli elementi e dati utili a consentirgli di valutare la necessità della convocazione stessa."
ANNUNZIATA,20/07/2006,"Svolgimento di interpellanze e di interrogazioni(ore 10,10)","Il gruppo tecnico in questione si è comunque riunito il 9 giugno scorso; nella stessa nota da parte italiana, al fine di ridurre le difficoltà di attraversamento della Svizzera, favorendo l'utilizzo di itinerari alternativi all'autostrada del San Gottardo, sono state chieste alla controparte svizzera le seguenti misure di natura temporanea: riduzione delle misure che limitano la circolazione dei mezzi pesanti sugli itinerari alternativi alla direttrice del San Gottardo; sospensione, per il periodo di chiusura del tunnel, dell'esazione della tassa sui veicoli pesanti per l'uso delle infrastrutture sugli altri itinerari utilizzati dai vettori del trasporto merci; sospensione in via eccezionale del divieto di circolazione notturna sul territorio svizzero."
