name_speaker,datetime,topic,text
PRESIDENTE,10/07/2006,Presidenza del vice presidente ANGIUS,La seduta è aperta .
PRESIDENTE,10/07/2006,Presidenza del vice presidente ANGIUS,Si dia lettura del processo verbale.
PRESIDENTE,10/07/2006,Presidenza del vice presidente ANGIUS,"Non essendovi osservazioni, il processo verbale è approvato."
PRESIDENTE,10/07/2006,Sulla vittoria della squadra nazionale italiana nel campionato mondiale di calcio,"Care colleghe e cari colleghi, la seduta di oggi si tiene in una giornata particolare. Sta rientrando in Italia, esattamente a Roma, la Nazionale italiana di calcio campione del mondo. ."
PRESIDENTE,10/07/2006,Sulla vittoria della squadra nazionale italiana nel campionato mondiale di calcio,"Penso che negli occhi e nel cuore di tutti noi vi sia la grande impresa compiuta dagli Azzurri a Berlino, che, sconfiggendo la Francia, sono diventati campioni del mondo nonostante tutto e nonostante tutti. Credo di interpretare anche il vostro sentimento sottolineando che questa è una vittoria dell'orgoglio italiano che fa bene al calcio italiano massacrato dagli scandali; fa bene allo sport come scuola di vita e fa bene all'Italia, anche a quella non sportiva."
PRESIDENTE,10/07/2006,Sulla vittoria della squadra nazionale italiana nel campionato mondiale di calcio,"Penso che possiamo essere fieri di questi ragazzi. Ringrazio, pertanto, anche a vostro nome, i dirigenti del CONI, della Federazione italiana gioco calcio e, in particolare, il tecnico della Nazionale Marcello Lippi, tutto lo  e lo splendido capitano azzurro, Fabio Cannavaro, a nome di tutta la squadra."
PRESIDENTE,10/07/2006,Sulla vittoria della squadra nazionale italiana nel campionato mondiale di calcio,"Vorrei fare un'ultima considerazione. Spero che il signor Blatter, presidente della FIFA, che ha assistito ieri alla finale di Coppa del mondo, abbia avuto un buon motivo per non essere presente alla consegna della coppa del mondo e delle medaglie ai nostri azzurri."
PRESIDENTE,10/07/2006,Sulla vittoria della squadra nazionale italiana nel campionato mondiale di calcio,Credo pertanto di interpretare anche il vostro sentimento salutando gli azzurri e spero che qualcuno faccia giungere loro questo nostro saluto. .
PRESIDENTE,10/07/2006,Comunicazioni della Presidenza,"L'elenco dei senatori in congedo e assenti per incarico ricevuto dal Senato, nonché ulteriori comunicazioni all'Assemblea saranno pubblicati nell'allegato B al Resoconto della seduta odierna."
PRESIDENTE,10/07/2006,Preannunzio di votazioni mediante procedimento elettronico,Avverto che nel corso della seduta odierna potranno essere effettuate votazioni qualificate mediante il procedimento elettronico.
PRESIDENTE,10/07/2006,Preannunzio di votazioni mediante procedimento elettronico,"Pertanto decorre da questo momento il termine di venti minuti dal preavviso previsto dall'articolo 119, comma 1, del Regolamento"
ALFONZI,10/07/2006,Sul grave problema degli incidenti sul lavoro,Domando di parlare.
PRESIDENTE,10/07/2006,Sul grave problema degli incidenti sul lavoro,Ne ha facoltà.
ALFONZI,10/07/2006,Sul grave problema degli incidenti sul lavoro,"Signor Presidente, colleghe senatrici e senatori, vorrei ricordare in quest'Aula che nei giorni scorsi a Torino si è verificato un accadimento veramente spaventoso: un giovane lavoratore rumeno di ventiquattro anni - lo chiameremo Dani - è morto mentre stava lavorando all'interno di un tombino; un rialzo dell'acqua l'ha trascinato nella fogna e il suo corpo non è ancora stato trovato."
ALFONZI,10/07/2006,Sul grave problema degli incidenti sul lavoro,"Sono numerosissime le morti sul lavoro e si stanno moltiplicando sempre più, perchè le condizioni di lavoro sono sempre meno sicure. Oltre a questo lavoratore, che lavorava in nero per una ditta in subappalto, sono morte di recente - lavoravano anch'esse - una donna ed una ragazzina di sedici anni."
ALFONZI,10/07/2006,Sul grave problema degli incidenti sul lavoro,Ho voluto ricordare questi avvenimenti e vorrei che questa Istituzione si impegnasse sempre più perché episodi di questo genere non accadano. La sicurezza nei luoghi di lavoro è qualcosa su cui dobbiamo impegnarci. .
PRESIDENTE,10/07/2006,Sul grave problema degli incidenti sul lavoro,"Senatrice Alfonzi, vorrei ricordarle - ma probabilmente lei lo sa - che nella precedente legislatura fu costituita, a proposito delle cosiddette morti bianche, una Commissione parlamentare di inchiesta, che svolse un eccellente lavoro. Sento anche parlare - naturalmente, non è mio compito darne conto ora - di una proposta in tal senso, che verrebbe, anche in questa legislatura, avanzata da diverse colleghe e colleghi, sia della maggioranza che dell'opposizione."
PRESIDENTE,10/07/2006,Sul grave problema degli incidenti sul lavoro,"Credo che dobbiamo tener conto di ciò. Questo nostro impegno di lavoro potrebbe essere, a mio giudizio, una risposta alla drammatica piaga costituita da fatti come quelli che lei ha giustamente questa sera ricordato."
TOFANI,10/07/2006,Sul grave problema degli incidenti sul lavoro,Domando di parlare.
PRESIDENTE,10/07/2006,Sul grave problema degli incidenti sul lavoro,Ne ha facoltà.
