id_speaker,offset_video,duration
SPEAKER_02,14.926,124.419
SPEAKER_13,139.345,0.034
SPEAKER_06,141.623,5.366
SPEAKER_08,150.787,5.1629999999999825
SPEAKER_00,155.95,94.43300000000002
SPEAKER_02,256.525,42.45700000000005
SPEAKER_01,299.185,59.11400000000003
SPEAKER_02,359.598,56.396000000000015
SPEAKER_13,415.994,29.480999999999938
SPEAKER_02,445.475,70.70600000000002
SPEAKER_07,522.914,425.081
SPEAKER_02,947.995,18.005999999999972
SPEAKER_07,966.001,7.965
SPEAKER_02,975.13,4.877
SPEAKER_07,980.007,145.36199999999997
SPEAKER_02,1125.368,23.136
SPEAKER_10,1158.612,353.32899999999995
SPEAKER_02,1510.625,2.784
SPEAKER_10,1512.852,7.678
SPEAKER_02,1520.53,9.873000000000047
SPEAKER_09,1532.545,46.220999999999776
SPEAKER_02,1585.162,8.92599999999993
SPEAKER_12,1596.62,296.71299999999997
SPEAKER_02,1896.218,7.425
SPEAKER_08,1910.022,6.531000000000176
SPEAKER_03,1919.945,592.2280000000003
SPEAKER_02,2517.353,9.129
SPEAKER_04,2535.157,223.23899999999958
SPEAKER_02,2758.396,27.253
SPEAKER_06,2773.735,0.709
SPEAKER_07,2774.444,0.101
SPEAKER_04,2784.94,24.992
SPEAKER_02,2809.932,18.461
SPEAKER_00,2812.48,0.017
SPEAKER_04,2812.497,3.341
SPEAKER_08,2819.197,0.253
SPEAKER_04,2826.318,94.97199999999975
SPEAKER_02,2921.29,7.206
SPEAKER_14,2928.496,54.523
SPEAKER_10,2987.288,0.9789999999998145
SPEAKER_02,2988.267,5.316
SPEAKER_10,2989.06,0.388
SPEAKER_02,2994.663,6.952
SPEAKER_04,3003.455,159.958
SPEAKER_14,3003.488,0.017
SPEAKER_04,3164.088,44.414999999999964
SPEAKER_02,3208.503,11.829
SPEAKER_04,3219.573,231.99800000000005
SPEAKER_02,3452.498,11.526
SPEAKER_14,3464.024,8.927
SPEAKER_02,3472.951,91.02399999999989
SPEAKER_09,3562.135,0.776
SPEAKER_00,3562.912,0.152
SPEAKER_02,3565.814,3.358
SPEAKER_06,3566.489,3.593999999999596
SPEAKER_09,3569.054,0.034
SPEAKER_06,3570.809,0.996
SPEAKER_02,3575.112,36.02800000000025
SPEAKER_04,3615.157,248.09599999999955
SPEAKER_06,3863.253,0.118
SPEAKER_04,3864.282,59.92399999999998
SPEAKER_02,3923.362,21.516
SPEAKER_04,3946.582,92.76099999999997
SPEAKER_06,4036.964,1.991
SPEAKER_04,4040.137,163.4669999999992
SPEAKER_02,4177.432,1.62
SPEAKER_04,4204.482,30.156
SPEAKER_02,4238.131,8.184
SPEAKER_08,4250.534,9.467000000000553
SPEAKER_04,4260.001,5.518000000000029
SPEAKER_08,4265.519,3.426
SPEAKER_04,4268.945,6.311000000000604
SPEAKER_08,4275.256,0.034
SPEAKER_04,4276.302,2.092
SPEAKER_08,4276.437,0.068
SPEAKER_04,4279.087,26.037999999999556
SPEAKER_08,4305.125,4.877
SPEAKER_04,4310.002,125.90399999999954
SPEAKER_02,4439.72,6.649
SPEAKER_04,4446.368,7.476
SPEAKER_02,4453.27,6.682
SPEAKER_04,4457.995,51.85699999999997
SPEAKER_05,4459.953,0.034
SPEAKER_04,4510.527,135.50700000000052
SPEAKER_02,4647.265,10.243
SPEAKER_14,4657.508,114.581
SPEAKER_02,4658.605,0.034
SPEAKER_14,4772.697,236.28399999999965
SPEAKER_02,5010.128,8.859
SPEAKER_05,5019.646,260.1959999999999
SPEAKER_06,5279.268,0.034
SPEAKER_02,5281.158,7.594
SPEAKER_08,5288.448,0.101
SPEAKER_11,5289.612,5.721
SPEAKER_06,5291.603,0.017
SPEAKER_11,5295.974,239.3040000000001
SPEAKER_02,5537.033,192.20699999999943
